,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
148,2019,3,Sabon-Gari,Male,2,2,10,9,10,2,1,0,36,2019 Q3
149,2019,3,Sabon-Gari,Female,0,1,3,7,4,2,5,3,25,2019 Q3
150,2019,4,Sabon-Gari,Male,2,4,4,14,13,9,2,3,51,2019 Q4
151,2019,4,Sabon-Gari,Female,1,8,6,8,4,6,4,3,40,2019 Q4
152,2019,1,Sanga,Male,0,0,0,4,5,5,4,0,18,2019 Q1
153,2019,1,Sanga,Female,0,0,3,1,1,6,1,0,12,2019 Q1
154,2019,2,Sanga,Male,0,0,1,3,5,2,1,1,13,2019 Q2
155,2019,2,Sanga,Female,0,0,0,7,4,1,0,1,13,2019 Q2
156,2019,3,Sanga,Male,0,0,2,7,9,8,2,1,29,2019 Q3
157,2019,3,Sanga,Female,0,0,0,4,4,0,1,2,11,2019 Q3
158,2019,4,Sanga,Male,0,0,2,2,3,2,0,4,13,2019 Q4
159,2019,4,Sanga,Female,0,0,2,4,3,3,1,3,16,2019 Q4
160,2019,1,Soba,Male,0,0,2,3,2,1,0,0,8,2019 Q1
161,2019,1,Soba,Female,0,0,2,2,0,0,0,0,4,2019 Q1
162,2019,2,Soba,Male,0,0,0,1,3,1,0,0,5,2019 Q2
163,2019,2,Soba,Female,0,0,1,1,1,1,0,0,4,2019 Q2
164,2019,3,Soba,Male,0,0,2,5,3,2,1,1,14,2019 Q3
165,2019,3,Soba,Female,0,0,2,0,0,0,0,1,3,2019 Q3
166,2019,4,Soba,Male,0,0,3,2,0,0,1,0,6,2019 Q4
167,2019,4,Soba,Female,0,0,2,4,2,2,1,0,11,2019 Q4
168,2019,1,Zango-Kataf,Male,0,0,2,4,6,5,0,1,18,2019 Q1
169,2019,1,Zango-Kataf,Female,0,0,0,3,0,1,1,0,5,2019 Q1
170,2019,2,Zango-Kataf,Male,0,0,1,0,7,11,4,4,27,2019 Q2
171,2019,2,Zango-Kataf,Female,0,0,3,1,1,0,1,1,7,2019 Q2
172,2019,3,Zango-Kataf,Male,0,0,2,6,4,7,3,1,23,2019 Q3
173,2019,3,Zango-Kataf,Female,0,0,2,1,0,0,1,0,4,2019 Q3
174,2019,4,Zango-Kataf,Male,0,0,2,2,7,5,2,0,18,2019 Q4
175,2019,4,Zango-Kataf,Female,0,0,1,1,1,2,2,0,7,2019 Q4
176,2019,1,Zaria,Male,2,0,10,13,15,8,4,3,55,2019 Q1
177,2019,1,Zaria,Female,0,0,7,11,8,5,4,3,38,2019 Q1
178,2019,2,Zaria,Male,1,0,11,23,15,14,4,4,72,2019 Q2
179,2019,2,Zaria,Female,0,1,7,9,4,3,1,4,29,2019 Q2
180,2019,3,Zaria,Male,0,0,16,18,17,10,1,6,68,2019 Q3
181,2019,3,Zaria,Female,1,2,10,14,12,5,4,2,50,2019 Q3
182,2019,4,Zaria,Male,0,3,16,25,16,11,4,3,78,2019 Q4
183,2019,4,Zaria,Female,0,3,10,14,7,8,4,2,48,2019 Q4
184,2020,1,Birnin-Gwari,Male,0,0,2,2,4,0,1,0,9,2020 Q1
185,2020,1,Birnin-Gwari,Female,0,1,0,1,1,1,0,0,4,2020 Q1
186,2020,2,Birnin-Gwari,Male,0,0,2,2,4,1,1,0,10,2020 Q2
187,2020,2,Birnin-Gwari,Female,0,1,0,1,1,1,0,0,4,2020 Q2
188,2020,3,Birnin-Gwari,Male,0,0,0,2,0,4,1,1,8,2020 Q3
189,2020,3,Birnin-Gwari,Female,0,1,2,2,5,3,2,0,15,2020 Q3
190,2020,4,Birnin-Gwari,Male,0,0,4,5,4,3,4,5,25,2020 Q4
191,2020,4,Birnin-Gwari,Female,0,2,1,4,4,1,4,5,21,2020 Q4
192,2020,1,Chikun,Male,0,1,7,17,20,7,6,1,59,2020 Q1
193,2020,1,Chikun,Female,0,0,6,7,6,1,2,0,22,2020 Q1
194,2020,2,Chikun,Male,0,0,5,12,18,9,3,3,50,2020 Q2
195,2020,2,Chikun,Female,0,0,4,4,2,1,0,1,12,2020 Q2
196,2020,3,Chikun,Male,1,1,9,12,15,7,1,4,50,2020 Q3
197,2020,3,Chikun,Female,0,1,2,6,5,3,0,1,18,2020 Q3
198,2020,4,Chikun,Male,0,0,4,18,18,7,3,3,53,2020 Q4
199,2020,4,Chikun,Female,0,0,3,3,2,1,2,2,13,2020 Q4
200,2020,1,Giwa,Male,14,10,1,3,2,3,3,0,36,2020 Q1
201,2020,1,Giwa,Female,9,6,1,7,5,2,0,0,30,2020 Q1
202,2020,2,Giwa,Male,7,6,1,1,2,2,0,0,19,2020 Q2
