,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Year_Quarter
197,2021,1,Lere,518,480,38,518,51,1,11,39,468,0,2021 Q1
198,2021,1,Igabi,1233,1233,0,1233,100,0,2,1231,0,0,2021 Q1
199,2021,1,Zaria,2406,2406,0,2406,189,3,0,0,2406,0,2021 Q1
200,2021,1,Chikun,593,581,12,563,99,0,27,60,506,0,2021 Q1
201,2021,1,Zango-Kataf,554,554,0,554,56,0,20,534,0,0,2021 Q1
202,2021,1,Giwa,843,843,0,843,71,0,0,843,0,0,2021 Q1
203,2021,1,Soba,776,776,0,776,43,0,0,43,733,0,2021 Q1
204,2021,1,Sabon-Gari,1378,1378,0,1378,66,0,0,1378,0,0,2021 Q1
205,2021,1,Sanga,194,181,13,194,28,1,13,181,0,0,2021 Q1
206,2021,1,Kaduna South,3135,3135,0,3135,277,11,143,358,2634,0,2021 Q1
207,2021,2,Sanga,266,261,5,266,25,0,2,264,0,0,2021 Q2
208,2021,2,Kubau,616,586,30,616,43,0,0,616,0,0,2021 Q2
209,2021,2,Kudan,725,713,12,725,23,0,0,335,390,20,2021 Q2
210,2021,2,Kauru,3626,2993,633,3626,167,0,0,3626,0,0,2021 Q2
211,2021,2,Markafi,676,654,22,676,60,0,5,671,0,0,2021 Q2
212,2021,2,Soba,625,624,1,625,55,0,0,55,570,0,2021 Q2
213,2021,2,Kaura,334,328,6,334,24,0,1,263,70,0,2021 Q2
214,2021,2,Kaduna South,2284,2173,111,2284,249,4,101,692,1491,0,2021 Q2
215,2021,2,Kajuru,2657,2657,0,2657,90,0,3,2654,0,0,2021 Q2
216,2021,2,Zango-Kataf,667,667,0,667,62,0,30,637,0,0,2021 Q2
217,2021,2,Kagarko,341,341,0,341,18,0,1,340,0,0,2021 Q2
218,2021,2,Lere,589,542,47,589,57,0,6,583,0,0,2021 Q2
219,2021,2,Zaria,4258,4258,0,4258,278,9,9,4249,0,0,2021 Q2
220,2021,2,Sabon-Gari,1564,1564,0,1564,82,0,0,1564,0,0,2021 Q2
221,2021,2,Chikun,968,968,0,956,123,0,7,961,0,1,2021 Q2
222,2021,2,Giwa,1483,1483,0,1483,136,0,6,1477,0,0,2021 Q2
223,2021,2,Kaduna North,4123,4053,70,4123,373,0,70,1368,2685,0,2021 Q2
224,2021,2,Jema'a,1418,1367,51,1418,97,1,4,345,1069,0,2021 Q2
225,2021,2,Igabi,1222,1220,2,1222,89,0,7,1215,0,0,2021 Q2
226,2021,2,Birnin-Gwari,1450,1440,10,1450,75,0,0,440,1010,0,2021 Q2
227,2021,2,Kachia,3079,3077,2,3079,255,0,6,3073,0,0,2021 Q2
228,2021,2,Jaba,238,238,0,238,24,0,0,0,238,0,2021 Q2
229,2021,2,Ikara,485,480,5,485,26,2,0,41,444,0,2021 Q2
230,2021,3,Kubau,603,586,17,603,42,0,1,602,0,0,2021 Q3
231,2021,3,Soba,684,674,10,669,54,0,0,54,630,0,2021 Q3
232,2021,3,Ikara,567,561,6,567,29,0,1,27,539,0,2021 Q3
233,2021,3,Lere,648,610,38,648,45,0,11,28,609,0,2021 Q3
234,2021,3,Chikun,856,855,1,727,147,0,2,418,436,8,2021 Q3
235,2021,3,Igabi,1339,1324,15,1339,110,0,3,1220,116,0,2021 Q3
236,2021,3,Markafi,897,862,35,897,70,0,5,892,0,0,2021 Q3
237,2021,3,Sanga,252,227,25,252,22,0,8,244,0,0,2021 Q3
238,2021,3,Kudan,879,855,24,879,32,0,16,405,458,0,2021 Q3
239,2021,3,Jaba,213,203,10,213,25,0,2,22,189,0,2021 Q3
240,2021,3,Kaduna North,3528,3468,60,3528,404,1,104,983,2441,0,2021 Q3
241,2021,3,Kauru,4495,3297,1198,4495,199,0,0,4495,0,0,2021 Q3
242,2021,3,Kaduna South,2349,2349,0,2349,275,5,210,760,1379,0,2021 Q3
243,2021,3,Zaria,4762,4754,8,4762,354,4,13,4749,0,0,2021 Q3
244,2021,3,Kagarko,421,421,0,421,32,0,1,420,0,0,2021 Q3
245,2021,3,Kachia,2294,2294,0,2294,213,0,0,2294,0,0,2021 Q3
246,2021,3,Kajuru,3859,3859,0,3859,105,0,1,3858,0,0,2021 Q3
247,2021,3,Giwa,2056,2056,0,2056,239,0,7,2049,0,0,2021 Q3
248,2021,3,Sabon-Gari,1641,1640,1,1641,107,1,0,1641,0,0,2021 Q3
249,2021,3,Jema'a,2211,2084,127,2011,115,3,27,1984,200,0,2021 Q3
250,2021,3,Kaura,370,365,5,370,12,0,22,257,91,0,2021 Q3
251,2021,3,Zango-Kataf,570,570,0,570,53,0,24,546,0,0,2021 Q3
252,2021,3,Birnin-Gwari,700,700,0,700,50,0,0,0,700,0,2021 Q3
253,2021,4,Zango-Kataf,793,793,0,793,64,0,33,760,0,0,2021 Q4
254,2021,4,Sanga,217,192,25,217,20,0,7,210,0,5,2021 Q4
255,2021,4,Soba,598,592,6,598,45,0,1,44,553,0,2021 Q4
256,2021,4,Kaduna North,5008,4948,60,5008,488,1,100,986,3922,0,2021 Q4
257,2021,4,Birnin-Gwari,1341,1341,0,1341,105,0,1,104,1236,0,2021 Q4
258,2021,4,Chikun,3576,3576,0,3576,339,0,13,3563,0,0,2021 Q4
