,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
141,2019,3,Markafi,Female,0,0,0,0,0,0,0,0,0,2019 Q3
142,2019,4,Markafi,Male,0,0,0,0,1,0,2,0,3,2019 Q4
143,2019,4,Markafi,Female,0,0,0,1,0,0,0,0,1,2019 Q4
144,2019,1,Sabon-Gari,Male,0,0,0,0,0,0,0,0,0,2019 Q1
145,2019,1,Sabon-Gari,Female,0,0,0,0,0,0,0,0,0,2019 Q1
146,2019,2,Sabon-Gari,Male,0,0,0,0,0,0,0,0,0,2019 Q2
147,2019,2,Sabon-Gari,Female,0,0,0,0,0,0,0,0,0,2019 Q2
148,2019,3,Sabon-Gari,Male,0,0,0,0,0,0,0,0,0,2019 Q3
149,2019,3,Sabon-Gari,Female,0,0,0,0,0,0,0,0,0,2019 Q3
150,2019,4,Sabon-Gari,Male,0,0,0,0,0,0,0,0,0,2019 Q4
151,2019,4,Sabon-Gari,Female,0,0,0,0,1,0,0,0,1,2019 Q4
152,2019,1,Sanga,Male,0,0,0,0,1,1,0,0,2,2019 Q1
153,2019,1,Sanga,Female,0,0,1,0,1,1,0,0,3,2019 Q1
154,2019,2,Sanga,Male,0,0,0,0,0,0,0,0,0,2019 Q2
155,2019,2,Sanga,Female,0,0,0,2,1,1,0,1,5,2019 Q2
156,2019,3,Sanga,Male,0,0,0,0,1,2,0,1,4,2019 Q3
157,2019,3,Sanga,Female,0,0,0,2,1,0,1,0,4,2019 Q3
158,2019,4,Sanga,Male,0,0,0,0,0,0,0,0,0,2019 Q4
159,2019,4,Sanga,Female,0,0,0,0,1,0,0,1,2,2019 Q4
160,2019,1,Soba,Male,0,0,0,0,0,0,0,0,0,2019 Q1
161,2019,1,Soba,Female,0,0,1,0,0,0,0,0,1,2019 Q1
162,2019,2,Soba,Male,0,0,0,0,1,0,0,0,1,2019 Q2
163,2019,2,Soba,Female,0,0,0,0,0,0,0,0,0,2019 Q2
164,2019,3,Soba,Male,0,0,0,0,0,0,0,0,0,2019 Q3
165,2019,3,Soba,Female,0,0,0,0,0,0,0,0,0,2019 Q3
166,2019,4,Soba,Male,0,0,0,0,0,0,0,0,0,2019 Q4
167,2019,4,Soba,Female,0,0,0,1,1,0,0,0,2,2019 Q4
168,2019,1,Zango-Kataf,Male,0,0,1,0,0,0,0,0,1,2019 Q1
169,2019,1,Zango-Kataf,Female,0,0,0,2,0,0,0,0,2,2019 Q1
170,2019,2,Zango-Kataf,Male,0,0,0,0,4,1,0,0,5,2019 Q2
171,2019,2,Zango-Kataf,Female,0,0,1,1,0,0,0,0,2,2019 Q2
172,2019,3,Zango-Kataf,Male,0,0,0,0,0,1,0,0,1,2019 Q3
173,2019,3,Zango-Kataf,Female,0,0,0,0,0,0,0,0,0,2019 Q3
174,2019,4,Zango-Kataf,Male,0,0,0,0,0,1,0,0,1,2019 Q4
175,2019,4,Zango-Kataf,Female,0,0,0,0,0,1,0,0,1,2019 Q4
176,2019,1,Zaria,Male,0,0,0,5,4,3,2,0,14,2019 Q1
177,2019,1,Zaria,Female,0,0,0,2,1,1,1,0,5,2019 Q1
178,2019,2,Zaria,Male,0,0,1,1,2,1,1,0,6,2019 Q2
179,2019,2,Zaria,Female,0,0,0,2,0,1,0,0,3,2019 Q2
180,2019,3,Zaria,Male,0,0,0,0,1,3,0,0,4,2019 Q3
181,2019,3,Zaria,Female,0,0,2,3,3,2,0,0,10,2019 Q3
182,2019,4,Zaria,Male,0,0,0,2,3,4,1,0,10,2019 Q4
183,2019,4,Zaria,Female,0,0,0,2,1,1,0,0,4,2019 Q4
184,2020,1,Birnin-Gwari,Male,0,0,0,0,1,0,0,0,1,2020 Q1
185,2020,1,Birnin-Gwari,Female,0,0,0,0,0,0,0,0,0,2020 Q1
186,2020,2,Birnin-Gwari,Male,0,0,0,0,0,0,0,0,0,2020 Q2
187,2020,2,Birnin-Gwari,Female,0,0,0,0,0,0,0,0,0,2020 Q2
188,2020,3,Birnin-Gwari,Male,0,0,0,0,0,0,0,0,0,2020 Q3
189,2020,3,Birnin-Gwari,Female,0,0,0,0,1,0,0,0,1,2020 Q3
190,2020,4,Birnin-Gwari,Male,0,0,0,0,0,0,0,1,1,2020 Q4
191,2020,4,Birnin-Gwari,Female,0,0,0,0,0,0,0,1,1,2020 Q4
192,2020,1,Chikun,Male,0,1,0,2,3,3,0,0,9,2020 Q1
193,2020,1,Chikun,Female,0,0,1,2,5,0,0,0,8,2020 Q1
194,2020,2,Chikun,Male,0,0,0,1,6,2,0,0,9,2020 Q2
195,2020,2,Chikun,Female,0,0,0,1,0,1,0,0,2,2020 Q2
196,2020,3,Chikun,Male,0,0,0,1,3,2,0,0,6,2020 Q3
197,2020,3,Chikun,Female,0,0,0,1,1,0,0,0,2,2020 Q3
198,2020,4,Chikun,Male,0,0,0,2,5,1,0,0,8,2020 Q4
199,2020,4,Chikun,Female,0,0,0,1,0,1,0,0,2,2020 Q4
200,2020,1,Giwa,Male,0,0,0,1,0,1,2,0,4,2020 Q1
201,2020,1,Giwa,Female,0,0,1,2,4,0,0,0,7,2020 Q1
202,2020,2,Giwa,Male,0,1,0,1,1,1,0,0,4,2020 Q2
203,2020,2,Giwa,Female,1,1,0,1,2,1,0,1,7,2020 Q2
204,2020,3,Giwa,Male,1,0,0,0,2,1,2,1,7,2020 Q3
205,2020,3,Giwa,Female,0,1,0,0,1,0,0,0,2,2020 Q3
206,2020,4,Giwa,Male,0,2,0,2,2,0,0,1,7,2020 Q4
207,2020,4,Giwa,Female,1,1,1,1,2,0,0,1,7,2020 Q4
208,2020,1,Igabi,Male,0,0,0,0,0,1,0,0,1,2020 Q1
209,2020,1,Igabi,Female,0,0,0,0,1,0,0,0,1,2020 Q1
210,2020,2,Igabi,Male,0,0,0,0,0,1,0,0,1,2020 Q2
211,2020,2,Igabi,Female,0,0,0,0,0,0,0,0,0,2020 Q2
212,2020,3,Igabi,Male,0,0,0,0,0,0,0,0,0,2020 Q3
213,2020,3,Igabi,Female,0,0,0,0,1,2,0,0,3,2020 Q3
214,2020,4,Igabi,Male,0,0,0,0,0,0,1,0,1,2020 Q4
215,2020,4,Igabi,Female,0,0,2,1,0,0,0,0,3,2020 Q4
216,2020,1,Ikara,Male,0,0,0,0,2,0,0,0,2,2020 Q1
217,2020,1,Ikara,Female,0,0,0,0,0,0,0,0,0,2020 Q1
218,2020,2,Ikara,Male,0,0,0,0,1,1,0,0,2,2020 Q2
219,2020,2,Ikara,Female,0,0,0,1,0,0,0,0,1,2020 Q2
220,2020,3,Ikara,Male,0,0,0,1,0,0,0,0,1,2020 Q3
221,2020,3,Ikara,Female,0,0,0,0,0,0,0,0,0,2020 Q3
222,2020,4,Ikara,Male,                -  ,                -  ,                -  ,                   -  ,1,                     -  ,                    -  ,                 -  ,1,2020 Q4
223,2020,4,Ikara,Female,                -  ,                -  ,                -  ,                   -  ,                    -  ,                     -  ,                    -  ,                 -  ,0,2020 Q4
224,2020,1,Jaba,Male,0,0,0,0,0,2,1,0,3,2020 Q1
225,2020,1,Jaba,Female,0,0,0,0,0,0,0,0,0,2020 Q1
226,2020,2,Jaba,Male,0,0,0,0,0,0,0,0,0,2020 Q2
227,2020,2,Jaba,Female,0,0,0,0,0,1,0,0,1,2020 Q2
228,2020,3,Jaba,Male,0,0,0,0,0,0,0,1,1,2020 Q3
229,2020,3,Jaba,Female,0,0,0,0,0,1,0,0,1,2020 Q3
230,2020,4,Jaba,Male,0,0,0,0,1,0,0,0,1,2020 Q4
231,2020,4,Jaba,Female,0,0,0,0,0,0,0,0,0,2020 Q4
232,2020,1,Jema'a,Male,0,0,0,0,1,0,0,0,1,2020 Q1
233,2020,1,Jema'a,Female,0,0,0,0,1,0,0,0,1,2020 Q1
234,2020,2,Jema'a,Male,0,0,0,0,0,0,0,0,0,2020 Q2
235,2020,2,Jema'a,Female,0,0,0,0,1,0,0,0,1,2020 Q2
236,2020,3,Jema'a,Male,0,0,0,0,1,0,0,0,1,2020 Q3
237,2020,3,Jema'a,Female,0,0,0,0,0,0,0,0,0,2020 Q3
238,2020,4,Jema'a,Male,0,0,0,0,1,0,0,0,1,2020 Q4
239,2020,4,Jema'a,Female,0,0,0,0,2,0,0,0,2,2020 Q4
240,2020,1,Kachia,Male,0,0,0,0,0,0,0,0,0,2020 Q1
241,2020,1,Kachia,Female,0,0,0,0,0,0,0,0,0,2020 Q1
242,2020,2,Kachia,Male,0,0,0,0,1,1,1,0,3,2020 Q2
243,2020,2,Kachia,Female,0,0,0,1,0,0,0,0,1,2020 Q2
244,2020,3,Kachia,Male,0,0,0,0,0,0,0,0,0,2020 Q3
245,2020,3,Kachia,Female,0,0,0,0,0,0,0,0,0,2020 Q3
246,2020,4,Kachia,Male,0,0,0,1,1,1,1,0,4,2020 Q4
247,2020,4,Kachia,Female,0,0,0,1,2,1,1,0,5,2020 Q4
248,2020,1,Kaduna North,Male,0,0,2,1,4,1,0,1,9,2020 Q1
249,2020,1,Kaduna North,Female,0,0,1,2,5,2,0,0,10,2020 Q1
250,2020,2,Kaduna North,Male,0,0,1,1,0,2,0,0,4,2020 Q2
251,2020,2,Kaduna North,Female,0,0,1,0,1,1,0,0,3,2020 Q2
252,2020,3,Kaduna North,Male,0,0,0,2,0,1,0,0,3,2020 Q3
253,2020,3,Kaduna North,Female,0,0,2,0,0,1,0,0,3,2020 Q3
254,2020,4,Kaduna North,Male,0,0,4,1,4,2,1,0,12,2020 Q4
255,2020,4,Kaduna North,Female,0,0,2,0,0,1,0,1,4,2020 Q4
256,2020,1,Kaduna South,Male,0,1,2,6,6,5,4,0,24,2020 Q1
257,2020,1,Kaduna South,Female,0,0,3,7,5,2,0,0,17,2020 Q1
258,2020,2,Kaduna South,Male,0,1,2,4,7,2,2,0,18,2020 Q2
259,2020,2,Kaduna South,Female,0,0,1,1,4,5,0,0,11,2020 Q2
260,2020,3,Kaduna South,Male,0,0,0,4,6,1,3,0,14,2020 Q3
261,2020,3,Kaduna South,Female,0,0,0,1,5,2,0,0,8,2020 Q3
262,2020,4,Kaduna South,Male,0,0,0,2,7,6,4,2,21,2020 Q4
263,2020,4,Kaduna South,Female,0,0,2,3,4,1,1,0,11,2020 Q4
264,2020,1,Kagarko,Male,0,0,0,0,1,0,0,0,1,2020 Q1
265,2020,1,Kagarko,Female,0,0,0,0,0,0,0,0,0,2020 Q1
266,2020,2,Kagarko,Male,0,0,0,0,1,0,0,0,1,2020 Q2
267,2020,2,Kagarko,Female,0,0,0,0,0,0,0,0,0,2020 Q2
268,2020,3,Kagarko,Male,0,0,0,0,0,0,0,0,0,2020 Q3
269,2020,3,Kagarko,Female,0,0,0,0,0,0,0,0,0,2020 Q3
270,2020,4,Kagarko,Male,0,0,0,0,0,0,0,0,0,2020 Q4
271,2020,4,Kagarko,Female,0,0,1,0,0,0,0,0,1,2020 Q4
272,2020,1,Kajuru,Male,0,0,0,0,0,0,0,0,0,2020 Q1
273,2020,1,Kajuru,Female,0,0,0,0,0,0,0,0,0,2020 Q1
274,2020,2,Kajuru,Male,0,0,0,0,0,0,0,0,0,2020 Q2
275,2020,2,Kajuru,Female,0,0,0,0,0,0,0,0,0,2020 Q2
276,2020,3,Kajuru,Male,0,0,0,0,0,0,0,0,0,2020 Q3
277,2020,3,Kajuru,Female,0,0,0,0,0,0,0,0,0,2020 Q3
278,2020,4,Kajuru,Male,0,0,0,0,0,0,0,0,0,2020 Q4
